bssid,ssid,type,lat,lon,last_seen,sqlite_filename
92:9C:8E:04:6B:E9,,W,0,0,,backup-1762704831407.sqlite
92:9C:8E:04:6B:EC,,W,0,0,,backup-1762704831407.sqlite
92:9C:8E:04:6B:EF,,W,0,0,,backup-1762704831407.sqlite
92:A2:D1:8D:88:27,,W,0,0,,j24.sqlite
92:AD:43:25:BD:A0,,W,0,0,,backup-1762704831407.sqlite
92:AD:43:50:70:90,,W,0,0,,backup-1762704831407.sqlite
92:AD:43:A2:E1:58,,W,0,0,,backup-1762704831407.sqlite
92:AD:43:AD:ED:F8,,W,0,0,,backup-1762704831407.sqlite
92:B8:A0:F4:44:14,,W,0,0,,backup-1762704831407.sqlite
92:C7:53:1C:04:16,,W,0,0,,backup-1762704831407.sqlite
92:CE:FF:83:D3:B0,,W,0,0,,backup-1762704831407.sqlite
92:D0:69:7C:B4:1D,,W,0,0,,backup-1762704831407.sqlite
92:DE:7C:2E:20:36,,W,0,0,,backup-1762704831407.sqlite
92:E2:6E:F8:87:51,,W,0,0,,backup-1762704831407.sqlite
92:E9:0F:6E:9E:EE,,W,0,0,,backup-1762704831407.sqlite
92:EE:6B:6D:0E:DA,,W,0,0,,backup-1762704831407.sqlite
92:EF:16:B5:75:67,,W,0,0,,backup-1762704831407.sqlite
92:F2:9E:A3:B3:68,,W,0,0,,backup-1762704831407.sqlite
92:F2:9E:C9:1A:60,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:20:6B:67,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:20:88:FB,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:22:7D:23,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:28:D3:41,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:29:09:35,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:29:39:9A,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:2A:2C:E2,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:2C:62:E6,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:D8:16:0B,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:D8:16:0D,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:D8:16:0E,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:D8:16:0F,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:F2:73:95,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:F3:F4:48,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:F3:F4:49,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:F4:32:89,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:F4:89:D0,,W,0,0,,backup-1762704831407.sqlite
94:04:E3:F4:89:D1,,W,0,0,,backup-1762704831407.sqlite
94:18:65:27:57:E6,,W,0,0,,backup-1762704831407.sqlite
94:3C:96:62:A2:27,,W,0,0,,backup-1762704831407.sqlite
94:3C:96:65:68:06,,W,0,0,,backup-1762704831407.sqlite
94:3C:96:65:68:07,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:27,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:2A,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:2C,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:2D,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:2F,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:31,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:32,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:33,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:34,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:40:A9:35,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:B8:90:24,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:D5:E4:F3,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:D5:E4:F5,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:D5:E4:F7,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:D5:E4:F8,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:D5:E4:F9,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:D5:E4:FA,,W,0,0,,backup-1762704831407.sqlite
94:6A:77:D5:E4:FB,,W,0,0,,backup-1762704831407.sqlite
94:83:C4:2E:90:E0,,W,0,0,,backup-1762704831407.sqlite
94:83:C4:4F:07:7F,,W,0,0,,backup-1762704831407.sqlite
94:A3:CA:02:C2:F8,,W,0,0,,backup-1762704831407.sqlite
94:A3:CA:0B:58:17,,W,0,0,,backup-1762704831407.sqlite
94:A6:7E:01:83:B0,,W,0,0,,backup-1762704831407.sqlite
94:A6:7E:DD:C0:90,,W,0,0,,backup-1762704831407.sqlite
94:A6:7E:DD:C0:91,,W,0,0,,backup-1762704831407.sqlite
94:BF:C4:1E:98:7C,,W,0,0,,backup-1762704831407.sqlite
