_id,run_id,wifi_visible,cell_visible,bt_visible,lat,lon,altitude,accuracy,time
26404,166,8,9,1,43.0234475482936,-83.6968277182141,196.810729980469,9.93504619598389,1759788689000
26405,166,5,9,2,43.0234761888952,-83.6967931424067,196.404174804687,9.93504619598389,1759788707000
26406,166,21,9,2,43.023431591632,-83.6968127115451,196.614807128906,3.79009246826172,1759788716000
26407,166,10,9,2,43.0234677997923,-83.6967890773654,193.69482421875,9.93504619598389,1759788851000
26408,166,13,7,3,43.023503294447,-83.6967922676124,192.109130859375,9.93504619598389,1759788855000
26409,166,19,6,2,43.0234659393192,-83.6968013989601,194.191162109375,9.93504619598389,1759788895000
26410,166,7,6,1,43.0234517789159,-83.6968487926466,196.446899414062,3.79009246826172,1759788929000
26411,166,8,3,1,43.0234763451331,-83.696801320674,199.003295898437,3.79009246826172,1759789213000
26412,166,10,3,1,43.0234444597132,-83.6967583000652,199.492553710937,3.79009246826172,1759789217000
26413,166,11,3,1,43.0234774566762,-83.6967839272754,196.114990234375,3.79009246826172,1759789231000
26414,166,15,3,1,43.0235204026717,-83.6968166638833,193.821411132812,3.79009246826172,1759789235000
26415,166,5,3,1,43.0235357040394,-83.6968587701817,193.03759765625,3.79009246826172,1759789239000
26416,166,8,4,1,43.0235030313931,-83.6968887265304,194.260864257812,3.79009246826172,1759789244000
26417,166,12,5,1,43.0234959127941,-83.6968381054775,189.013610839844,4.15917634963989,1759789253000
26418,166,9,5,1,43.0235103778969,-83.6967958117254,189.076171875,3.79009246826172,1759789281000
26419,166,9,6,1,43.0235447449834,-83.696797867676,186.957092285156,9.93504619598389,1759789324000
26420,166,5,6,2,43.0235752227896,-83.6967736138453,188.161499023438,4.90646648406982,1759789563000
26421,166,14,7,1,43.023541043784,-83.6967686493456,189.129760742188,3.82069134712219,1759789586000
26422,166,16,6,1,43.0235059258955,-83.6967511146436,189.171936035156,3.79009246826172,1759789592000
26423,166,9,5,1,43.023474281845,-83.6967320146465,190.850219726562,3.79009246826172,1759789609000
26424,166,8,5,2,43.023505900203,-83.6967781305693,184.959594726562,4.01884269714355,1759789631000
26425,166,8,5,2,43.0235467476604,-83.6967795723957,185.541015625,10.3000898361206,1759789636000
26426,166,3,4,2,43.0235092476426,-83.6967572079063,191.062744140625,9.93504619598389,1759789653000
26427,166,15,5,1,43.0234705983811,-83.6967703392851,192.292053222656,3.79009246826172,1759789687000
26428,166,15,5,1,43.0234705983811,-83.6967703392851,192.292053222656,3.79009246826172,1759789687000
26429,166,6,6,1,43.0234574741579,-83.6968134551448,191.950317382813,3.79009246826172,1759789705000
26430,166,6,6,1,43.023432288727,-83.6968461008481,199.281494140625,9.93504619598389,1759795613000
26431,166,6,6,1,43.023432288727,-83.6968461008481,199.281494140625,9.93504619598389,1759795613000
26432,166,6,7,5,43.0234575187264,-83.6968126161993,200.289367675781,3.79009246826172,1759800735000
26433,166,11,7,4,43.0234907863016,-83.6968383507512,198.581115722656,3.82114434242249,1759800740000
26434,166,11,7,4,43.0234907863016,-83.6968383507512,198.581115722656,3.82114434242249,1759800740000
26435,166,8,1,4,43.0234799098111,-83.6968916086681,199.897338867187,3.79009246826172,1759800745000
26436,166,8,1,4,43.0234799098111,-83.6968916086681,199.897338867187,3.79009246826172,1759800745000
26437,166,8,1,4,43.023440439687,-83.6968645726916,199.457641601563,3.79009246826172,1759800750000
26438,166,7,1,4,43.0234084256244,-83.696833701227,201.566711425781,3.79009246826172,1759800754000
26439,166,16,1,3,43.0234115811552,-83.6967807140823,199.066772460937,3.79009246826172,1759800759000
26440,166,6,1,3,43.0234459375727,-83.6967750425181,198.090148925781,3.79009246826172,1759800763000
26441,166,6,1,3,43.0234459375727,-83.6967750425181,198.090148925781,3.79009246826172,1759800763000
26442,166,10,1,3,43.0234809009109,-83.6967686212905,198.518188476563,3.81270933151245,1759800768000
26443,166,5,1,3,43.0235074506018,-83.6968005183623,198.174194335937,4.21506643295288,1759800772000
26444,166,8,1,1,43.0235249401873,-83.6968487207722,196.977905273437,5.3304123878479,1759800776000
26445,166,7,1,1,43.0234874185687,-83.6968438998158,194.852783203125,4.82456159591675,1759800782000
26446,166,8,1,1,43.0234568017002,-83.6968127612702,195.60888671875,5.14665079116821,1759800786000
26447,166,5,1,1,43.0234210109686,-83.6968200256156,195.676635742188,5.18110752105713,1759800790000
